URL,MatchDateTime,Station,Show,IAShowID,IAPreviewThumb,Snippet
https://archive.org/details/FOXNEWSW_20240327_200000_Your_World_With_Neil_Cavuto#start/1969/end/2004,3/27/2024 20:33:04,FOXNEWS,Your World With Neil Cavuto,FOXNEWSW_20240327_200000_Your_World_With_Neil_Cavuto,https://archive.org/download/FOXNEWSW_20240327_200000_Your_World_With_Neil_Cavuto/FOXNEWSW_20240327_200000_Your_World_With_Neil_Cavuto.thumbs/FOXNEWSW_20240327_200000_Your_World_With_Neil_Cavuto_001949.jpg,"neil: you think about it, this is global when you think of supply chain disruption. this might be the latest is threatened as my example. nothing like what is happening at the red sea, trouble having their way around the attacks by rubbles. but it weighs on people who fear"
https://archive.org/details/FOXNEWSW_20240304_210000_Your_World_With_Neil_Cavuto#start/3336/end/3371,3/4/2024 21:55:51,FOXNEWS,Your World With Neil Cavuto,FOXNEWSW_20240304_210000_Your_World_With_Neil_Cavuto,https://archive.org/download/FOXNEWSW_20240304_210000_Your_World_With_Neil_Cavuto/FOXNEWSW_20240304_210000_Your_World_With_Neil_Cavuto.thumbs/FOXNEWSW_20240304_210000_Your_World_With_Neil_Cavuto_003327.jpg,"over that period, we've had strong gdp growth and the unemployment is low. that shows the comply supply side. when we got here in 2021, the president set up a supply chain disruption task force. we got to work in tandem with"
https://archive.org/details/FOXNEWSW_20240105_110000_FOX_and_Friends#start/2388/end/2423,1/5/2024 11:40:03,FOXNEWS,FOX and Friends,FOXNEWSW_20240105_110000_FOX_and_Friends,https://archive.org/download/FOXNEWSW_20240105_110000_FOX_and_Friends/FOXNEWSW_20240105_110000_FOX_and_Friends.thumbs/FOXNEWSW_20240105_110000_FOX_and_Friends_002370.jpg,"inflation, interest rates, and supply chain disruption. here to react to that is the committee for a constructive tomorrow the president craig rucker. your reaction to the shelving of this multi million dollars"
https://archive.org/details/MSNBCW_20231229_100000_Way_Too_Early_With_Jonathan_Lemire#start/2857/end/2892,12/29/2023 10:47:52,MSNBC,Way Too Early With Jonathan Lemire,MSNBCW_20231229_100000_Way_Too_Early_With_Jonathan_Lemire,https://archive.org/download/MSNBCW_20231229_100000_Way_Too_Early_With_Jonathan_Lemire/MSNBCW_20231229_100000_Way_Too_Early_With_Jonathan_Lemire.thumbs/MSNBCW_20231229_100000_Way_Too_Early_With_Jonathan_Lemire_002849.jpg,"one is to deter iran in the case of israel, but the other one is there and it's parked at the bottom of the red sea specifically to go after these houthi rebels. what are you more worried about, the supply chain"
https://archive.org/details/MSNBCW_20230715_050000_The_Last_Word_With_Lawrence_ODonnell#start/3195/end/3230,7/15/2023 5:53:30,MSNBC,The Last Word With Lawrence ODonnell,MSNBCW_20230715_050000_The_Last_Word_With_Lawrence_ODonnell,https://archive.org/download/MSNBCW_20230715_050000_The_Last_Word_With_Lawrence_ODonnell/MSNBCW_20230715_050000_The_Last_Word_With_Lawrence_ODonnell.thumbs/MSNBCW_20230715_050000_The_Last_Word_With_Lawrence_ODonnell_003178.jpg,"ups since the 90s. something like that. what are you thinking about this? yes, it could, obviously we saw the elephants of supply chain disruption during the pandemic. that's one of the key reasons inflation took off, here and"
https://archive.org/details/MSNBCW_20230524_100000_Morning_Joe#start/10797/end/10832,5/24/2023 13:00:12,MSNBC,Morning Joe,MSNBCW_20230524_100000_Morning_Joe,https://archive.org/download/MSNBCW_20230524_100000_Morning_Joe/MSNBCW_20230524_100000_Morning_Joe.thumbs/MSNBCW_20230524_100000_Morning_Joe_010769.jpg,"supply chain disruption. what we're seeing here is we at least need to be able to make our own chips here in the united states, leading edge, mature notes. chips that we use in our everyday life. anything that has an on and off switch has a chip. how do we get the capacity back here in the united states where"
https://archive.org/details/CNNW_20230517_110000_CNN_This_Morning#start/3359/end/3394,5/17/2023 11:56:14,CNN,CNN This Morning,CNNW_20230517_110000_CNN_This_Morning,https://archive.org/download/CNNW_20230517_110000_CNN_This_Morning/CNNW_20230517_110000_CNN_This_Morning.thumbs/CNNW_20230517_110000_CNN_This_Morning_003358.jpg,"than we were the previous year. talk about supply chain disruption. let's just close the southern border. but we know how to solve the problem. thank you for your straight talk. you proved yourself right at the beginning. be honest. and when are you making"
https://archive.org/details/CNNW_20230301_100000_Early_Start_With_Christine_Romans#start/2620/end/2655,3/1/2023 10:43:55,CNN,Early Start With Christine Romans,CNNW_20230301_100000_Early_Start_With_Christine_Romans,https://archive.org/download/CNNW_20230301_100000_Early_Start_With_Christine_Romans/CNNW_20230301_100000_Early_Start_With_Christine_Romans.thumbs/CNNW_20230301_100000_Early_Start_With_Christine_Romans_002607.jpg,"the cause of widespread supply chain disruption. and it can underpin the food supply, it means that there is less food coming in from europe, we're producing less food, so"
https://archive.org/details/CNNW_20230228_090000_CNN_Newsroom_Live#start/2751/end/2786,2/28/2023 9:46:06,CNN,CNN Newsroom Live,CNNW_20230228_090000_CNN_Newsroom_Live,https://archive.org/download/CNNW_20230228_090000_CNN_Newsroom_Live/CNNW_20230228_090000_CNN_Newsroom_Live.thumbs/CNNW_20230228_090000_CNN_Newsroom_Live_002728.jpg,"inconvenient truth. brexit, the cause of widespread supply chain disruption. because of the interruption, it means that there is less food coming in from europe, we're"
https://archive.org/details/FOXNEWSW_20230219_150000_Sunday_Morning_Futures_With_Maria_Bartiromo#start/3018/end/3053,2/19/2023 15:50:33,FOXNEWS,Sunday Morning Futures With Maria Bartiromo,FOXNEWSW_20230219_150000_Sunday_Morning_Futures_With_Maria_Bartiromo,https://archive.org/download/FOXNEWSW_20230219_150000_Sunday_Morning_Futures_With_Maria_Bartiromo/FOXNEWSW_20230219_150000_Sunday_Morning_Futures_With_Maria_Bartiromo.thumbs/FOXNEWSW_20230219_150000_Sunday_Morning_Futures_With_Maria_Bartiromo_002998.jpg,"come to the table and negotiate, because we are having a struggle across the nation when it comes to small businesses, and they drive our economy. i'm a small business owner many in upstate new york. we're getting crushed by taxes coming tax uncertainty, inflation, high fuel price, we have supply chain"
https://archive.org/details/MSNBCW_20230118_110000_Morning_Joe#start/5752/end/5787,1/18/2023 12:36:07,MSNBC,Morning Joe,MSNBCW_20230118_110000_Morning_Joe,https://archive.org/download/MSNBCW_20230118_110000_Morning_Joe/MSNBCW_20230118_110000_Morning_Joe.thumbs/MSNBCW_20230118_110000_Morning_Joe_005729.jpg,"people, and it's only getting worse, because of climate shocks, fuel costs, fertilizing problems, supply chain disruption. so 2023 is going to be bad. but 2024 could be catastrophic."
https://archive.org/details/CNNW_20230112_140000_CNN_Newsroom#start/577/end/612,1/12/2023 14:09:52,CNN,CNN Newsroom,CNNW_20230112_140000_CNN_Newsroom,https://archive.org/download/CNNW_20230112_140000_CNN_Newsroom/CNNW_20230112_140000_CNN_Newsroom.thumbs/CNNW_20230112_140000_CNN_Newsroom_000569.jpg,"once-in-a-generational event, at least in terms of the kind of supply chain disruption we saw. now we're seeing a more regionalized world. companies are saying, wow, we can't just have one highly vulnerable supply chain going from china to the u.s. we've got to have a lot of"
