date_code,country,trade_value_usd,date
202311,Finland,8868760949.496,2023-11-01
202311,France,58867888044.508,2023-11-01
202311,Germany,152056811901.287,2023-11-01
202311,India,33748768432.92,2023-11-01
202311,Italy,59663039125.292,2023-11-01
202311,USA,165755550085.0,2023-11-01
202312,China,303532942438.0,2023-12-01
202312,Finland,6219087374.698,2023-12-01
202312,France,51828068222.133,2023-12-01
202312,Germany,124922767187.772,2023-12-01
202312,India,38381490505.451,2023-12-01
202312,Italy,52198239142.372,2023-12-01
202312,USA,167669993627.0,2023-12-01
202401,China,306281226114.0,2024-01-01
202401,Finland,6298697487.949,2024-01-01
202401,France,51432839477.672,2024-01-01
202401,Germany,138896507075.971,2024-01-01
202401,India,37303444607.675,2024-01-01
202401,Italy,51851240726.297,2024-01-01
202401,USA,160498257063.0,2024-01-01
202402,China,221682600382.0,2024-02-01
202402,Finland,5844469295.907,2024-02-01
202402,France,54526235732.423,2024-02-01
202402,Germany,143385912851.043,2024-02-01
202402,India,41390805447.459,2024-02-01
202402,Italy,57727911603.594,2024-02-01
202402,USA,167351866311.0,2024-02-01
202403,China,279208176153.0,2024-03-01
202403,Finland,5156502536.565,2024-03-01
202403,France,57548584789.825,2024-03-01
202403,Germany,146590306958.524,2024-03-01
202403,India,41582686507.517,2024-03-01
202403,Italy,58935334094.372,2024-03-01
202403,USA,179287157721.0,2024-03-01
202404,China,291912935010.0,2024-04-01
202404,Finland,6749578081.519,2024-04-01
202404,France,53974285117.857,2024-04-01
202404,Germany,149486976345.371,2024-04-01
202404,India,34862241161.785,2024-04-01
202404,Italy,56530657211.243,2024-04-01
202404,USA,171625670606.0,2024-04-01
202405,China,301748650452.0,2024-05-01
202405,Finland,6817010345.833,2024-05-01
202405,France,52490841642.455,2024-05-01
202405,Germany,137500977038.897,2024-05-01
202405,India,39597075312.681,2024-05-01
202405,Italy,60583322681.822,2024-05-01
202405,USA,173085255341.0,2024-05-01
202406,China,307321713855.0,2024-06-01
202406,Finland,7255446193.542,2024-06-01
202406,France,59257944260.572,2024-06-01
202406,Germany,138813321018.882,2024-06-01
202406,India,35169460528.322,2024-06-01
202406,Italy,55755570287.302,2024-06-01
202406,USA,174321127774.0,2024-06-01
202407,China,300232169775.0,2024-07-01
202407,Finland,6767536032.096,2024-07-01
202407,France,58042072362.016,2024-07-01
202407,Germany,145014600181.014,2024-07-01
202407,India,33878942120.958,2024-07-01
202407,Italy,62119522839.991,2024-07-01
202407,USA,168775420360.0,2024-07-01
202408,China,308255033450.0,2024-08-01
202408,Finland,6179207516.11,2024-08-01
202408,France,44155731730.321,2024-08-01
202408,Germany,133086014427.699,2024-08-01
202408,India,34599818852.637,2024-08-01
202408,Italy,42836932225.34,2024-08-01
202408,USA,180374942383.0,2024-08-01
202409,China,303404637275.0,2024-09-01
202409,Finland,7229788892.138,2024-09-01
202409,France,51074223319.438,2024-09-01
202409,Germany,145567107039.031,2024-09-01
202409,India,34561904125.944,2024-09-01
202409,Italy,56059057981.473,2024-09-01
202409,USA,171395614120.0,2024-09-01
202410,China,308880797971.0,2024-10-01
202410,Finland,6904325314.989,2024-10-01
202410,France,57929276322.905,2024-10-01
202410,Germany,146269821512.345,2024-10-01
202410,India,38984230792.469,2024-10-01
202410,Italy,62441635700.689,2024-10-01
202410,USA,176791074084.0,2024-10-01
202411,China,311900687655.0,2024-11-01
202411,Finland,6540310355.648,2024-11-01
202411,France,52902718961.597,2024-11-01
202411,Germany,141907509228.412,2024-11-01
202411,India,31935649847.213,2024-11-01
202411,Italy,57064547713.006,2024-11-01
202411,USA,174278613277.0,2024-11-01
202412,China,335714665750.0,2024-12-01
202412,Finland,6293989606.111,2024-12-01
202412,France,52129838759.054,2024-12-01
202412,Germany,117736269964.336,2024-12-01
202412,India,37517715919.618,2024-12-01
202412,Italy,51575232054.204,2024-12-01
202412,USA,166017612083.0,2024-12-01
202501,Finland,5856750016.324,2025-01-01
202501,Germany,130218241317.184,2025-01-01
202501,India,36159346350.073,2025-01-01
202501,Italy,50481139166.466,2025-01-01
202501,USA,163910930793.0,2025-01-01
202502,Finland,5996185117.221,2025-02-01
202502,Germany,135861182842.875,2025-02-01
202502,India,36819414606.348,2025-02-01
202502,Italy,56107376663.354,2025-02-01
202502,USA,167508062853.0,2025-02-01
202503,Finland,6983190482.857,2025-03-01
202503,Germany,152212070615.703,2025-03-01
202503,India,42063304659.267,2025-03-01
202503,Italy,62082311515.957,2025-03-01
202503,USA,190868948659.0,2025-03-01
202504,Finland,6712859983.512,2025-04-01
202504,Germany,148417507267.806,2025-04-01
202504,India,38461557399.04,2025-04-01
202504,Italy,59398521010.603,2025-04-01
202504,USA,188502222472.0,2025-04-01
202505,Finland,6694642130.639,2025-05-01
202505,Germany,147702269359.473,2025-05-01
202505,India,38485181918.448,2025-05-01
202505,Italy,62170567467.364,2025-05-01
202505,USA,182922041808.0,2025-05-01
202506,Finland,7437776833.075,2025-06-01
202506,Germany,149412774052.831,2025-06-01
202506,India,35128109171.688,2025-06-01
202506,Italy,62597165108.58,2025-06-01
202506,USA,179795625974.0,2025-06-01
202507,Finland,8829128248.128,2025-07-01
202507,Germany,158558299656.352,2025-07-01
202507,Italy,72013383036.908,2025-07-01
202507,USA,175018015665.0,2025-07-01
202508,Finland,6061051611.891,2025-08-01
202508,Germany,134882764410.216,2025-08-01
202508,Italy,44917887974.996,2025-08-01
202509,Finland,7400423167.562,2025-09-01
202509,Germany,162010263658.105,2025-09-01
202509,India,36346381292.948,2025-09-01
